Admin,Active,Semi-Active,Inactive
28bytes,0,1,0
331dot,1,0,0
49TL,0,0,1
5 albert square,1,0,0
78.26,1,0,0
AFigureOfBlue,0,1,0
AKeen,0,1,0
ARandomName123,1,0,0
Abecedare,1,0,0
Academic Challenger,0,1,0
Acalamari,1,0,0
Acdixon,0,1,0
Acroterion,1,0,0
Ad Orientem,1,0,0
Adam Bishop,0,1,0
Addshore,0,1,0
After Midnight,0,1,0
Agathoclea,0,1,0
Ahecht,1,0,0
Airplaneman,0,0,1
Ajpolino,0,1,0
Al Ameer son,0,1,0
Alexf,1,0,0
AlexiusHoratius,0,1,0
Alison,0,1,0
AlistairMcMillan,0,0,1
Amakuru,1,0,0
AmandaNP,0,1,0
Amire80,1,0,0
Amortias,0,1,0
Amorymeltzer,0,1,0
Anachronist,1,0,0
Anarchyte,0,1,0
Andrew Gray,1,0,0
Andrewa,1,0,0
AnemoneProjectors,0,1,0
Angelo.romano,1,0,0
Anne Delong,0,1,0
Anomie,1,0,0
AnomieBOT III,1,0,0
Antandrus,0,1,0
Anthere,0,1,0
Aoidh,1,0,0
Arbitrarily0,1,0,0
Arctic.gnome,0,1,0
Arcticocean,1,0,0
ArnoldReinhold,0,1,0
Art LaPella,1,0,0
Arwel Parry,0,1,0
Asilvering,1,0,0
Atlant,0,1,0
Audacity,0,1,0
Ausir,0,1,0
Avraham,1,0,0
Awilley,0,1,0
Awiseman,0,1,0
AxelBoldt,1,0,0
AzaToth,0,1,0
B,0,1,0
BD2412,1,0,0
BDD,1,0,0
Bagumba,1,0,0
Barkeep49,1,0,0
Bastique,0,1,0
Bcorr,0,1,0
Bearcat,1,0,0
Beetstra,1,0,0
Beland,1,0,0
Ben MacDui,0,1,0
Berig,0,1,0
BethNaught,0,1,0
Bibliomaniac15,0,1,0
BigDom,0,1,0
BigHaz,0,1,0
BigrTex,1,0,0
Bilby,0,1,0
Bishonen,1,0,0
Bkell,1,0,0
Bkonrad,1,0,0
Blablubbs,1,0,0
Black Kite,1,0,0
Bobak,1,0,0
Bobo192,0,1,0
Bongwarrior,0,1,0
BorgHunter,0,1,0
BorgQueen,0,1,0
Bovlb,0,1,0
BradPatrick,1,0,0
Bradv,0,0,1
Brandon,1,0,0
Brian Kendig,0,1,0
Brighterorange,0,1,0
BrokenSegue,1,0,0
Bsadowski1,0,1,0
Bucketsofg,0,0,1
Bumm13,1,0,0
BusterD,1,0,0
C.Fred,1,0,0
CBDunkerson,0,1,0
CIreland,0,0,1
CJCurrie,1,0,0
CLW,0,1,0
CRGreathouse,0,1,0
Cabayi,1,0,0
Cactus.man,0,1,0
CactusWriter,1,0,0
Caknuck,0,1,0
Callanecc,0,1,0
Calliopejen1,0,0,1
CambridgeBayWeather,1,0,0
Canadian Paul,1,0,0
Canley,1,0,0
Canterbury Tail,1,0,0
CaptainEek,1,0,0
Carcharoth,0,1,0
Carlosguitar,1,0,0
Casliber,0,1,0
Catfish Jim and the soapdish,0,1,0
Cbl62,1,0,0
Cbrown1023,0,0,1
Cburnett,0,1,0
Cecropia,0,0,1
Ceranthor,0,1,0
Cerebellum,0,0,1
CesarB,0,1,0
Ceyockey,1,0,0
Chaotic Enby,1,0,0
Charles Matthews,1,0,0
